City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
311,kodinsk,58.6881,99.1844,15.33,99,99,0.94,RU,1723062511
312,dunedin,-45.8742,170.5036,9.89,74,100,0.45,NZ,1723062512
313,whitehorse,60.7161,-135.0538,25.61,33,0,7.2,CA,1723062483
314,sennoy,52.1509,46.9631,18.52,79,53,2.68,RU,1723062515
315,jayapura,-2.5333,140.7,22.66,94,95,2.16,ID,1723062516
316,sitka,57.0531,-135.33,14.94,88,40,2.06,US,1723062381
317,margate,51.3813,1.3862,18.28,71,100,6.55,GB,1723062518
318,potosi,-19.5836,-65.7531,15.48,23,0,6.17,BO,1723062519
319,inyonga,-6.7167,32.0667,20.45,29,1,1.75,TZ,1723062520
320,nanning,22.8167,108.3167,27.25,92,0,2.88,CN,1723062522
321,acarau,-2.8856,-40.12,27.23,70,4,8.71,BR,1723062523
322,akureyri,65.6835,-18.0878,8.96,87,100,3.6,IS,1723062524
323,wajir,1.7471,40.0573,25.91,68,100,10.53,KE,1723062527
324,qui nhon,13.7667,109.2333,26.13,84,27,1.57,VN,1723062496
325,nurota,40.5614,65.6886,27.51,18,0,3.72,UZ,1723062529
326,i-n-salah,27.1935,2.4607,37.79,11,0,8.37,DZ,1723062530
327,atar,20.5169,-13.0499,36.11,26,44,4.64,MR,1723062531
328,richards bay,-28.783,32.0377,19.89,71,36,7.35,ZA,1723062532
329,kone,-21.0595,164.8658,18.62,78,100,2.84,NC,1723062534
330,brokopondo,4.75,-55.1667,31.14,54,22,1.37,SR,1723062535
331,thunder bay,48.4001,-89.3168,23.99,53,75,7.2,CA,1723062316
332,khovd,48.0056,91.6419,18.69,41,99,1.89,MN,1723062282
333,rudnichnyy,59.617,52.4703,14.17,95,100,2.83,RU,1723062539
334,puerto san jose,13.9256,-90.8244,30.66,73,94,3.79,GT,1723062541
335,bulungu,-4.55,18.6,28.28,28,28,0.55,CD,1723062542
336,belyy yar,53.6039,91.3903,15.94,88,0,2.0,RU,1723062543
337,newman,37.3138,-121.0208,40.59,7,0,1.22,US,1723062545
338,litchfield,41.7668,-73.2501,18.84,91,100,0.45,US,1723062546
339,ladario,-19.0047,-57.6017,35.16,24,2,4.12,BR,1723062547
340,dodola,6.9833,39.1833,13.55,91,99,1.28,ET,1723062549
341,morondava,-20.2833,44.2833,21.35,82,0,3.14,MG,1723062550
342,dhidhdhoo,6.8833,73.1,27.98,78,98,7.03,MV,1723062551
343,siniscola,40.5719,9.6922,28.75,76,47,2.03,IT,1723062553
344,bafoulabe,13.8065,-10.8321,27.27,80,78,2.57,ML,1723062554
345,hami,42.8,93.45,21.11,60,100,2.26,CN,1723062555
346,idri,27.5,13.2667,34.57,12,3,4.66,LY,1723062556
347,nagqu,31.5,92.0,7.56,73,100,3.15,CN,1723062557
348,misratah,32.3754,15.0925,28.34,72,0,7.26,LY,1723062559
349,dudinka,69.4058,86.1778,8.72,67,0,7.62,RU,1723062560
350,mathba,22.2855,89.9629,26.55,90,99,2.93,BD,1723062561
351,ikwiriri,-7.9562,38.9716,21.96,83,6,2.76,TZ,1723062562
352,kalispell,48.1958,-114.3129,23.28,53,75,6.17,US,1723062564
353,attapeu,14.8,106.8333,23.59,99,54,0.58,LA,1723062565
354,santana,-0.0583,-51.1817,33.1,58,40,3.09,BR,1723062566
355,bairnsdale,-37.8333,147.6167,4.47,91,81,2.45,AU,1723062567
356,quellon,-43.1167,-73.6167,8.63,78,21,2.06,CL,1723062569
357,naze,28.3667,129.4833,24.51,83,5,0.89,JP,1723062570
358,praia da vitoria,38.7333,-27.0667,24.86,73,20,2.87,PT,1723062571
359,kelme,55.6339,22.9342,18.01,86,27,1.33,LT,1723062573
360,mount pleasant,32.7941,-79.8626,26.14,97,92,4.63,US,1723062485
361,posto fiscal rolim de moura,-13.0833,-62.2667,36.57,24,46,2.23,BR,1723062575
362,arawa,-6.2132,155.5367,24.51,85,78,1.37,PG,1723062577
363,coahuayana de hidalgo,18.7,-103.6583,33.4,54,100,3.47,MX,1723062578
364,rundu,-17.9333,19.7667,19.17,13,0,1.84,NA,1723062579
